hobli,a,b,x,y,z
Attibele 1,-4777425,2383,-684536,340,0.2034
Attibele 2,-4417507,2229,-867878,427,0.1784
Begur 1,-1147522,609,-5005596,2514,-0.503
Begur 2,-6349051,3202,-5561453,2779,-0.178
Begur 3,-6338704,3189,-6793912,3398,-0.373
Bidarahalli 1,-10688893,5340,-2270720,1131,0.1725
Bidarahalli 2,-10013826,5005,-4325866,2157,-0.0211
Bidarahalli 3,-10764933,5363,-4447561,2218,-0.0309
Dasanapura 1,-5439159,2712,-6655911,3313,-0.205
Dasanapura 2,-10371063,5172,-6275886,3124,-0.071
Dasanapura 3,-1261213,629.7,-5546451,2760,-0.006
Hesaraghatta 1,-10114580,5027,-1461742,729,-0.00013
Hesaraghatta 2,-7268131,3616,-1632742,814,-0.0254
Jala 1,-4821202,2404,-2489289,1241,-0.0183
Jala 2,-10062123,5015,-2370160,1182,0.0031
Jala 3,-1644276,861,-2415261,1204.5,-0.00849
Jigani 1,-14402159,7181,-1937955,968,-0.002
Jigani 2,-18761094,9334,-2157535,1078,-0.0133
Kengeri 1,-10907056,5441,-5582345,2784,-0.0906
Kengeri 2,-13230521,6580,-4849606,2418,-0.0193
Kengeri 3,-10808603,5392,-4879213,2433,-0.0264
Kengeri 4,-3360147,1692,-5450798,2723,-0.255
Krishnarajapuram,-137490,69.03,-7524716,3753,-3.46
Krishnarajapuram 1,-1476355,769.2,-6752530,3360,0.201
Krishnarajapuram 2,-5506613,2783,-6567126,3271,0.088
Krishnarajapuram 3,-4585922,2316,-5622925,2794,0.311
Mahadevapura,-1414831,724.6,-2763434,1389.4,-0.075
Marathahalli,-3051913,1552,-9659780,4840,-0.771
Sarjapur 1,-11566655,5756,-2120364,1057,-0.0061
Sarjapur 2,-11566655,5756,-2113065,1053,-0.006
Sarjapur 3,-14784588,7349,-2031720,1013,0.001
Tavarekere 1,-3386901,1688,-5063416,2520.6,-0.0064
Tavarekere 2,-3260811,1629,-4914954,2446.5,0.0388
Tavarekere 3,-9059684,4506,-5061826,2519.8,-0.0022
Uttarahalli,-100552,57.81,-7161190,3567.2,0.543
Uttarahalli 1,-4982953,2520,-6708296,3342,0.1018
Uttarahalli 2,-6528103,3250,-7132193,3557,0.0128
Uttarahalli 3,-916610,458.4,-7186606,3584,0.0318
Uttarahalli 4,-3565020,1803,-7016887,3498,0.056
Uttarahalli 5,-204256,118.5,-7163761,3568.4,0.255
Varthur 1,-9957240,4967,-4222888,2108,0.069
Varthur 2,-11730586,5862,-5046863,2519,-0.012
Yelahanka,-795648,407.4,-8768967,4371,-0.234
Yelahanka 1,-10787394,5389,-6086131,3032,0.157
Yelahanka 2,-4874455,2445,-9831936,4896,0.074
Yelahanka 3,-4938122,2484,-10034482,5009,-0.463
Yeshwantpur,-84604,66.8,-6022127,3025,-0.933
Yeshwantpur 1,-4647461,2367,-6122362,3049,0.052
Yeshwantpur 2,-12329327,6206,-5968770,2979,-0.0526
Anugondanahalli,-6089473,3038,-848491,425.7,-0.0526
Jadigenahalli,-5090262,2541,-1777849,886.4,-0.0182
Hosakote Kasaba,-11935278,5960,-1409045,703,-0.0094
Nandagudi,-5909021,2955,-973274,484.9,0.0178
Sulibele,-4808577,2397,-1657007,826,0.0458
Channarayapattana,-14483883,7203,-1752298,872.8,0.00322
Vijayapura,-1543375,771.4,-3850363,1916,-0.159
Devanahalli Kasaba,-9489275,4747,-2223308,1106.4,0.01801
Kundana,-8108064,4036,-1674368,834.3,0.0118
Sasalu,-532073,266.5,-399897,200,-0.2561
Tubagere,-1323120,662.9,-602662,301,-0.132
Doddaballapur Kasaba,-2665072,1350,-215291,107.9,0.0086
Madhure,-759234,380.6,-230700,115.84,-0.0028
Doddabelavangala,-1818622,907.1,-189553,95.47,-0.0044
Sompura 1,-6879493,3443,-1165905,584.1,-0.0032
Sompura 2,-1005507,502,-1055146,529,0.089
Thyamagondlu 1,-1658054,826.5,-432623,218,-0.0076
Thyamagondlu 2,-650289,330.2,-405844,204.5,0.0217
Nelamangala Kasaba,-2659742,1354,-772252,387.5,0.0037
